"type","post_published","likes_count_fb","comments_count_fb","shares_count_fb","date"
"photo","2016-12-07",257,759,321,2016-12-07
"photo","2016-12-07",279,88,69,2016-12-07
"video","2016-12-07",264,347,333,2016-12-07
"photo","2016-12-07",383,295,88,2016-12-07
"link","2016-12-06",218,219,48,2016-12-06
"photo","2016-12-06",364,255,138,2016-12-06
"photo","2016-12-06",286,302,46,2016-12-06
"photo","2016-12-05",1949,713,550,2016-12-05
"link","2016-12-04",1375,462,238,2016-12-04
"photo","2016-12-03",1770,908,355,2016-12-03
"link","2016-12-03",191,105,35,2016-12-03
"photo","2016-12-03",481,361,142,2016-12-03
"link","2016-12-02",326,160,27,2016-12-02
"link","2016-12-02",546,454,813,2016-12-02
"photo","2016-12-02",1806,414,500,2016-12-02
"link","2016-12-02",264,41,50,2016-12-02
"video","2016-12-02",1572,384,1499,2016-12-02
"link","2016-12-02",886,181,318,2016-12-02
"link","2016-12-01",429,471,53,2016-12-01
"photo","2016-12-01",1716,188,83,2016-12-01
"video","2016-11-30",4676,805,1,2016-11-30
"link","2016-11-30",1543,297,135,2016-11-30
"link","2016-11-30",559,98,84,2016-11-30
"link","2016-11-30",203,129,75,2016-11-30
"photo","2016-11-30",713,587,238,2016-11-30
"photo","2016-11-30",457,241,109,2016-11-30
"video","2016-11-30",1052,195,0,2016-11-30
"link","2016-11-29",182,137,49,2016-11-29
"link","2016-11-29",1585,962,192,2016-11-29
"link","2016-11-29",194,196,59,2016-11-29
"video","2016-11-29",292,126,0,2016-11-29
"link","2016-11-29",310,223,0,2016-11-29
"link","2016-11-28",89,111,140,2016-11-28
"link","2016-11-28",232,281,0,2016-11-28
"link","2016-11-28",147,245,34,2016-11-28
"video","2016-11-27",450,977,670,2016-11-27
"photo","2016-11-26",340,112,58,2016-11-26
"link","2016-11-26",1433,301,782,2016-11-26
"link","2016-11-25",184,291,40,2016-11-25
"link","2016-11-25",423,200,113,2016-11-25
"photo","2016-11-24",404,543,707,2016-11-24
"link","2016-11-24",98,57,13,2016-11-24
"photo","2016-11-24",691,312,147,2016-11-24
"link","2016-11-24",133,258,41,2016-11-24
"video","2016-11-23",93,88,84,2016-11-23
"link","2016-11-23",185,394,125,2016-11-23
"video","2016-11-23",178,141,93,2016-11-23
"video","2016-11-23",410,211,62,2016-11-23
"photo","2016-11-23",335,139,157,2016-11-23
"link","2016-11-23",49,31,12,2016-11-23
"link","2016-11-23",223,276,45,2016-11-23
"link","2016-11-22",1110,194,269,2016-11-22
"link","2016-11-22",114,152,116,2016-11-22
"video","2016-11-22",197,282,89,2016-11-22
"photo","2016-11-22",376,245,43,2016-11-22
"photo","2016-11-22",805,157,221,2016-11-22
"video","2016-11-22",443,157,0,2016-11-22
"photo","2016-11-21",93,117,71,2016-11-21
"photo","2016-11-21",483,260,116,2016-11-21
"video","2016-11-21",185,127,54,2016-11-21
"link","2016-11-21",231,214,42,2016-11-21
"link","2016-11-20",231,530,90,2016-11-20
"link","2016-11-20",197,260,42,2016-11-20
"link","2016-11-19",467,352,47,2016-11-19
"link","2016-11-19",1220,468,298,2016-11-19
"link","2016-11-19",257,671,26,2016-11-19
"link","2016-11-18",350,566,50,2016-11-18
"link","2016-11-18",289,287,85,2016-11-18
"link","2016-11-18",701,382,123,2016-11-18
"link","2016-11-17",217,431,35,2016-11-17
"video","2016-11-17",713,176,0,2016-11-17
"link","2016-11-16",738,501,195,2016-11-16
"photo","2016-11-16",1271,524,566,2016-11-16
"photo","2016-11-16",493,362,121,2016-11-16
"photo","2016-11-16",266,271,71,2016-11-16
"link","2016-11-15",295,576,261,2016-11-15
"link","2016-11-15",57,55,18,2016-11-15
"photo","2016-11-15",481,258,225,2016-11-15
"photo","2016-11-15",675,444,518,2016-11-15
"photo","2016-11-14",309,265,72,2016-11-14
"link","2016-11-14",298,256,70,2016-11-14
"link","2016-11-14",294,173,54,2016-11-14
"link","2016-11-13",647,548,61,2016-11-13
"link","2016-11-13",290,321,74,2016-11-13
"link","2016-11-12",1268,614,146,2016-11-12
"photo","2016-11-11",988,332,281,2016-11-11
"link","2016-11-11",240,225,40,2016-11-11
"link","2016-11-11",296,302,39,2016-11-11
"video","2016-11-10",3000,888,4799,2016-11-10
"photo","2016-11-10",347,158,68,2016-11-10
"photo","2016-11-09",350,508,166,2016-11-09
"link","2016-11-08",227,478,68,2016-11-08
"link","2016-11-08",202,370,40,2016-11-08
"photo","2016-11-08",750,452,239,2016-11-08
"photo","2016-11-07",1530,473,363,2016-11-07
"photo","2016-11-06",812,205,103,2016-11-06
"link","2016-11-06",825,694,136,2016-11-06
"link","2016-11-05",364,416,77,2016-11-05
"link","2016-11-04",252,440,133,2016-11-04
"link","2016-11-03",565,370,166,2016-11-03
"photo","2016-11-03",251,60,58,2016-11-03
"video","2016-11-03",572,122,0,2016-11-03
"link","2016-11-03",150,119,22,2016-11-03
"photo","2016-11-03",547,389,100,2016-11-03
"photo","2016-11-03",246,138,53,2016-11-03
"link","2016-11-02",182,289,132,2016-11-02
"link","2016-11-02",215,70,79,2016-11-02
"video","2016-11-02",238,99,54,2016-11-02
"link","2016-11-02",175,284,77,2016-11-02
"video","2016-11-02",1597,260,0,2016-11-02
"link","2016-11-01",159,352,71,2016-11-01
"link","2016-11-01",301,215,49,2016-11-01
"video","2016-10-31",445,178,128,2016-10-31
"link","2016-10-31",328,147,80,2016-10-31
"photo","2016-10-31",688,330,288,2016-10-31
"link","2016-10-30",302,734,200,2016-10-30
"link","2016-10-29",456,663,48,2016-10-29
"link","2016-10-28",268,468,42,2016-10-28
"link","2016-10-28",1349,527,420,2016-10-28
"link","2016-10-27",533,577,143,2016-10-27
"link","2016-10-27",425,583,98,2016-10-27
"photo","2016-10-27",789,488,262,2016-10-27
"photo","2016-10-26",293,175,56,2016-10-26
"photo","2016-10-26",969,632,178,2016-10-26
"video","2016-10-26",353,295,61,2016-10-26
"photo","2016-10-25",3345,553,1124,2016-10-25
"link","2016-10-25",318,213,61,2016-10-25
"photo","2016-10-25",373,138,80,2016-10-25
"link","2016-10-25",738,457,140,2016-10-25
"video","2016-10-24",2009,960,0,2016-10-24
"link","2016-10-23",582,659,0,2016-10-23
"video","2016-10-23",394,187,72,2016-10-23
"link","2016-10-21",125,407,26,2016-10-21
"link","2016-10-21",398,338,58,2016-10-21
"photo","2016-10-21",458,313,80,2016-10-21
"photo","2016-10-21",1240,261,160,2016-10-21
"link","2016-10-21",344,345,67,2016-10-21
"video","2016-10-20",503,504,213,2016-10-20
"link","2016-10-20",760,721,287,2016-10-20
"photo","2016-10-20",3611,780,1451,2016-10-20
"video","2016-10-19",537,424,102,2016-10-19
"photo","2016-10-19",620,214,146,2016-10-19
"link","2016-10-19",281,273,111,2016-10-19
"video","2016-10-19",890,330,287,2016-10-19
"link","2016-10-18",507,596,409,2016-10-18
"link","2016-10-18",232,208,122,2016-10-18
"link","2016-10-18",376,201,116,2016-10-18
"link","2016-10-18",1044,225,232,2016-10-18
"link","2016-10-18",392,413,50,2016-10-18
"video","2016-10-17",1030,493,339,2016-10-17
"link","2016-10-17",2074,560,272,2016-10-17
"link","2016-10-17",233,261,29,2016-10-17
"link","2016-10-16",420,408,105,2016-10-16
"link","2016-10-16",353,161,98,2016-10-16
"link","2016-10-16",127,143,35,2016-10-16
"link","2016-10-16",224,223,57,2016-10-16
"video","2016-10-15",1355,769,401,2016-10-15
"link","2016-10-15",756,396,168,2016-10-15
"photo","2016-10-15",1699,506,128,2016-10-15
"video","2016-10-15",1214,2120,232,2016-10-15
"video","2016-10-15",885,1446,167,2016-10-15
"photo","2016-10-15",171,166,29,2016-10-15
"video","2016-10-14",741,962,263,2016-10-14
"video","2016-10-14",634,407,852,2016-10-14
"link","2016-10-14",429,279,67,2016-10-14
"video","2016-10-14",870,955,148,2016-10-14
"video","2016-10-14",410,198,93,2016-10-14
"video","2016-10-14",310,382,253,2016-10-14
"video","2016-10-14",971,1095,166,2016-10-14
"link","2016-10-13",529,411,53,2016-10-13
"video","2016-10-13",647,353,648,2016-10-13
"video","2016-10-13",1193,1055,153,2016-10-13
"video","2016-10-13",1004,364,73,2016-10-13
"link","2016-10-13",1279,848,205,2016-10-13
"video","2016-10-13",375,92,0,2016-10-13
"photo","2016-10-13",530,72,76,2016-10-13
"video","2016-10-13",1955,2530,561,2016-10-13
"photo","2016-10-13",105,50,12,2016-10-13
"photo","2016-10-13",92,131,18,2016-10-13
"link","2016-10-12",1296,536,131,2016-10-12
"video","2016-10-12",763,335,188,2016-10-12
"link","2016-10-12",444,209,69,2016-10-12
"video","2016-10-12",1106,372,366,2016-10-12
"photo","2016-10-11",237,507,196,2016-10-11
"photo","2016-10-11",954,424,252,2016-10-11
"link","2016-10-11",874,434,141,2016-10-11
"link","2016-10-11",108,51,24,2016-10-11
"link","2016-10-10",156,61,15,2016-10-10
"link","2016-10-10",311,125,58,2016-10-10
"link","2016-10-09",185,413,58,2016-10-09
"link","2016-10-08",629,388,87,2016-10-08
"link","2016-10-07",1130,818,264,2016-10-07
"photo","2016-10-07",451,298,62,2016-10-07
"photo","2016-10-07",2377,721,1108,2016-10-07
"link","2016-10-06",464,702,112,2016-10-06
"link","2016-10-06",220,175,29,2016-10-06
"photo","2016-10-06",1105,338,387,2016-10-06
"video","2016-10-06",2017,508,1546,2016-10-06
"link","2016-10-06",192,299,112,2016-10-06
"link","2016-10-06",1703,679,573,2016-10-06
"link","2016-10-06",271,60,39,2016-10-06
"link","2016-10-05",587,316,140,2016-10-05
"link","2016-10-05",591,563,361,2016-10-05
"link","2016-10-05",1179,546,966,2016-10-05
"link","2016-10-04",207,119,18,2016-10-04
"photo","2016-10-04",406,205,80,2016-10-04
"video","2016-10-04",552,730,777,2016-10-04
"link","2016-10-04",207,348,103,2016-10-04
"link","2016-10-03",51,146,29,2016-10-03
"photo","2016-10-03",971,472,287,2016-10-03
"link","2016-10-03",341,609,0,2016-10-03
"link","2016-10-02",379,355,142,2016-10-02
"video","2016-10-02",989,1050,3148,2016-10-02
"link","2016-10-02",660,544,240,2016-10-02
"link","2016-10-01",346,618,133,2016-10-01
"photo","2016-09-30",1068,535,267,2016-09-30
"link","2016-09-30",200,83,21,2016-09-30
"link","2016-09-29",264,264,35,2016-09-29
"link","2016-09-29",291,233,56,2016-09-29
"link","2016-09-28",1291,417,233,2016-09-28
"photo","2016-09-28",1444,447,419,2016-09-28
"link","2016-09-27",229,354,51,2016-09-27
"link","2016-09-27",373,496,155,2016-09-27
"photo","2016-09-27",918,384,359,2016-09-27
"link","2016-09-27",350,205,141,2016-09-27
"link","2016-09-26",599,358,74,2016-09-26
"link","2016-09-26",232,384,147,2016-09-26
"link","2016-09-25",588,788,184,2016-09-25
"photo","2016-09-24",273,229,57,2016-09-24
"photo","2016-09-22",225,626,38,2016-09-22
"photo","2016-09-22",292,138,85,2016-09-22
"photo","2016-09-22",1520,229,353,2016-09-22
"link","2016-09-21",359,257,53,2016-09-21
"link","2016-09-21",748,355,240,2016-09-21
"photo","2016-09-21",453,152,156,2016-09-21
"photo","2016-09-21",125,177,41,2016-09-21
"photo","2016-09-20",380,412,64,2016-09-20
"link","2016-09-19",101,472,54,2016-09-19
"photo","2016-09-19",573,476,175,2016-09-19
"link","2016-09-18",1999,1372,418,2016-09-18
"link","2016-09-17",290,308,46,2016-09-17
"link","2016-09-16",199,567,28,2016-09-16
"link","2016-09-16",184,236,32,2016-09-16
"link","2016-09-16",351,357,44,2016-09-16
"video","2016-09-16",756,307,0,2016-09-16
"link","2016-09-15",377,121,80,2016-09-15
"link","2016-09-15",559,229,103,2016-09-15
"photo","2016-09-15",1082,292,321,2016-09-15
"link","2016-09-15",562,341,121,2016-09-15
"photo","2016-09-14",572,449,159,2016-09-14
"link","2016-09-14",131,80,13,2016-09-14
"video","2016-09-14",613,680,318,2016-09-14
"photo","2016-09-14",547,200,178,2016-09-14
"link","2016-09-13",98,135,50,2016-09-13
"photo","2016-09-13",290,103,68,2016-09-13
"photo","2016-09-13",203,87,32,2016-09-13
"photo","2016-09-13",237,285,267,2016-09-13
"link","2016-09-13",705,184,116,2016-09-13
"link","2016-09-12",358,263,71,2016-09-12
"photo","2016-09-12",886,264,395,2016-09-12
"photo","2016-09-12",2207,251,827,2016-09-12
"link","2016-09-11",794,415,136,2016-09-11
"link","2016-09-11",532,277,71,2016-09-11
"link","2016-09-10",243,299,124,2016-09-10
"link","2016-09-10",463,406,104,2016-09-10
"link","2016-09-09",282,290,56,2016-09-09
"photo","2016-09-09",569,224,152,2016-09-09
"link","2016-09-09",300,318,37,2016-09-09
"link","2016-09-09",399,331,87,2016-09-09
"video","2016-09-09",1461,379,0,2016-09-09
"photo","2016-09-08",1966,644,1214,2016-09-08
"photo","2016-09-08",930,158,203,2016-09-08
"link","2016-09-08",369,348,66,2016-09-08
"video","2016-09-08",2253,858,1054,2016-09-08
"link","2016-09-07",332,436,93,2016-09-07
"link","2016-09-07",210,179,85,2016-09-07
"link","2016-09-07",238,170,36,2016-09-07
"video","2016-09-07",782,436,341,2016-09-07
"link","2016-09-07",500,251,39,2016-09-07
"photo","2016-09-07",667,132,142,2016-09-07
"video","2016-09-07",1302,410,853,2016-09-07
"photo","2016-09-07",668,37,75,2016-09-07
"video","2016-09-07",584,642,594,2016-09-07
"link","2016-09-06",537,437,85,2016-09-06
"video","2016-09-06",841,386,329,2016-09-06
"link","2016-09-06",472,213,47,2016-09-06
"photo","2016-09-06",121,122,37,2016-09-06
"photo","2016-09-06",537,108,153,2016-09-06
"link","2016-09-06",970,315,183,2016-09-06
"photo","2016-09-05",216,211,49,2016-09-05
"link","2016-09-05",1038,279,166,2016-09-05
"link","2016-09-05",200,413,86,2016-09-05
"link","2016-09-04",666,594,122,2016-09-04
"video","2016-09-03",905,587,1066,2016-09-03
"link","2016-09-03",381,198,40,2016-09-03
"video","2016-09-02",4627,5831,10919,2016-09-02
"link","2016-09-02",1046,1077,198,2016-09-02
"link","2016-09-02",844,379,1311,2016-09-02
"photo","2016-09-02",3259,923,1150,2016-09-02
"video","2016-09-02",783,295,2,2016-09-02
"video","2016-09-02",3003,3707,1936,2016-09-02
"link","2016-09-01",713,687,165,2016-09-01
"link","2016-09-01",358,376,52,2016-09-01
"photo","2016-08-31",337,686,113,2016-08-31
"link","2016-08-31",386,358,37,2016-08-31
"photo","2016-08-30",949,598,447,2016-08-30
"link","2016-08-29",317,564,56,2016-08-29
"link","2016-08-27",494,1201,52,2016-08-27
"link","2016-08-26",928,1023,161,2016-08-26
"photo","2016-08-25",1065,626,230,2016-08-25
"link","2016-08-25",342,519,37,2016-08-25
"photo","2016-08-24",119,857,0,2016-08-24
"link","2016-08-24",543,1257,169,2016-08-24
"link","2016-08-23",540,426,0,2016-08-23
"video","2016-08-23",1342,870,525,2016-08-23
"link","2016-08-23",390,91,61,2016-08-23
"photo","2016-08-23",346,469,229,2016-08-23
"link","2016-08-22",615,597,777,2016-08-22
"photo","2016-08-22",774,128,114,2016-08-22
"link","2016-08-22",406,357,77,2016-08-22
"link","2016-08-21",327,484,45,2016-08-21
"photo","2016-08-20",2908,745,349,2016-08-20
"photo","2016-08-19",653,599,128,2016-08-19
"photo","2016-08-19",425,37,1,2016-08-19
"link","2016-08-18",463,839,92,2016-08-18
"photo","2016-08-18",410,427,84,2016-08-18
"photo","2016-08-17",948,631,201,2016-08-17
"link","2016-08-17",150,146,56,2016-08-17
"photo","2016-08-17",673,373,205,2016-08-17
"video","2016-08-17",234,242,0,2016-08-17
"photo","2016-08-17",306,294,56,2016-08-17
"photo","2016-08-16",531,230,113,2016-08-16
"link","2016-08-15",546,590,337,2016-08-15
"link","2016-08-15",902,209,133,2016-08-15
"photo","2016-08-14",717,470,151,2016-08-14
"link","2016-08-13",473,598,88,2016-08-13
"photo","2016-08-10",585,241,137,2016-08-10
"photo","2016-08-10",640,580,332,2016-08-10
"photo","2016-08-09",1605,1338,434,2016-08-09
"link","2016-08-09",853,218,0,2016-08-09
"photo","2016-08-09",1232,164,0,2016-08-09
"photo","2016-08-09",1324,147,179,2016-08-09
"link","2016-08-08",361,531,92,2016-08-08
"link","2016-08-07",556,484,107,2016-08-07
"photo","2016-08-06",267,578,94,2016-08-06
"photo","2016-08-05",2441,488,0,2016-08-05
"link","2016-08-04",489,910,0,2016-08-04
"photo","2016-08-03",976,421,383,2016-08-03
"photo","2016-08-02",332,392,153,2016-08-02
"photo","2016-08-02",489,208,195,2016-08-02
"link","2016-08-02",574,191,131,2016-08-02
"photo","2016-08-01",1262,700,357,2016-08-01
"link","2016-07-30",285,367,54,2016-07-30
"photo","2016-07-30",834,486,192,2016-07-30
"photo","2016-07-29",454,659,160,2016-07-29
"video","2016-07-28",358,1061,1,2016-07-28
"photo","2016-07-28",244,558,162,2016-07-28
"photo","2016-07-27",566,959,231,2016-07-27
"photo","2016-07-26",515,623,162,2016-07-26
"video","2016-07-25",1032,701,0,2016-07-25
"link","2016-07-25",1143,813,187,2016-07-25
"photo","2016-07-25",1084,898,480,2016-07-25
"link","2016-07-25",544,622,155,2016-07-25
"link","2016-07-24",1227,1169,478,2016-07-24
"link","2016-07-22",899,599,212,2016-07-22
"photo","2016-07-22",1425,723,270,2016-07-22
"photo","2016-07-22",1736,694,1116,2016-07-22
"photo","2016-07-21",328,400,45,2016-07-21
"link","2016-07-21",2557,1025,488,2016-07-21
"photo","2016-07-21",1010,220,293,2016-07-21
"link","2016-07-20",681,510,71,2016-07-20
"link","2016-07-20",721,458,179,2016-07-20
"photo","2016-07-20",502,294,154,2016-07-20
"link","2016-07-19",2528,1180,299,2016-07-19
"photo","2016-07-19",235,198,55,2016-07-19
"link","2016-07-19",895,707,252,2016-07-19
"link","2016-07-18",1360,1122,1386,2016-07-18
"photo","2016-07-18",5578,1968,9061,2016-07-18
"video","2016-07-18",6029,1273,2118,2016-07-18
"video","2016-07-18",780,701,685,2016-07-18
"photo","2016-07-18",1392,632,1237,2016-07-18
"link","2016-07-17",1273,1129,109,2016-07-17
"link","2016-07-17",266,339,54,2016-07-17
"link","2016-07-17",827,754,703,2016-07-17
"link","2016-07-16",1034,755,181,2016-07-16
"video","2016-07-15",2555,701,0,2016-07-15
"link","2016-07-15",246,143,29,2016-07-15
"photo","2016-07-15",2042,820,1,2016-07-15
"photo","2016-07-15",676,330,110,2016-07-15
"link","2016-07-15",2748,498,0,2016-07-15
"video","2016-07-14",534,670,0,2016-07-14
"link","2016-07-14",699,752,312,2016-07-14
"photo","2016-07-14",1872,1180,723,2016-07-14
"link","2016-07-14",1759,775,214,2016-07-14
"video","2016-07-13",1580,815,0,2016-07-13
"photo","2016-07-13",1025,230,108,2016-07-13
"photo","2016-07-13",245,26,28,2016-07-13
"photo","2016-07-13",755,850,573,2016-07-13
"photo","2016-07-13",1732,346,343,2016-07-13
"video","2016-07-13",1960,1218,609,2016-07-13
"photo","2016-07-13",5856,1316,0,2016-07-13
"link","2016-07-12",886,480,415,2016-07-12
"photo","2016-07-11",1610,903,1033,2016-07-11
"photo","2016-07-11",328,231,59,2016-07-11
"link","2016-07-11",695,872,611,2016-07-11
"link","2016-07-11",2102,619,356,2016-07-11
"link","2016-07-11",2519,667,311,2016-07-11
"photo","2016-07-10",16819,985,0,2016-07-10
"link","2016-07-10",2211,624,375,2016-07-10
"link","2016-07-10",200,160,155,2016-07-10
"link","2016-07-09",1965,704,419,2016-07-09
"link","2016-07-08",275,39,49,2016-07-08
"video","2016-07-08",833,250,0,2016-07-08
"link","2016-07-06",342,181,129,2016-07-06
"video","2016-07-06",1293,207,894,2016-07-06
"video","2016-07-06",1106,161,354,2016-07-06
"photo","2016-07-06",721,144,454,2016-07-06
"link","2016-07-06",499,119,0,2016-07-06
"link","2016-07-06",809,263,88,2016-07-06
"link","2016-07-05",103,126,70,2016-07-05
"photo","2016-07-05",114,177,17,2016-07-05
"photo","2016-07-05",2388,589,0,2016-07-05
"video","2016-07-05",827,245,0,2016-07-05
"photo","2016-07-05",517,119,196,2016-07-05
"link","2016-07-05",1345,343,591,2016-07-05
"link","2016-07-05",979,319,80,2016-07-05
"link","2016-07-04",498,527,373,2016-07-04
"link","2016-07-04",433,356,75,2016-07-04
"link","2016-07-03",1596,765,725,2016-07-03
"photo","2016-07-02",783,233,84,2016-07-02
"link","2016-07-02",675,720,583,2016-07-02
"video","2016-07-02",3856,1982,3893,2016-07-02
"photo","2016-07-01",299,267,65,2016-07-01
"link","2016-07-01",835,240,118,2016-07-01
"link","2016-07-01",2376,1043,639,2016-07-01
"link","2016-07-01",585,422,166,2016-07-01
"link","2016-06-30",883,666,417,2016-06-30
"photo","2016-06-30",1073,223,210,2016-06-30
"video","2016-06-30",4469,1179,2496,2016-06-30
"link","2016-06-30",361,230,34,2016-06-30
"link","2016-06-29",655,554,90,2016-06-29
"video","2016-06-29",2765,368,3051,2016-06-29
"video","2016-06-29",559,436,296,2016-06-29
"video","2016-06-29",2759,2229,1664,2016-06-29
"photo","2016-06-29",4317,816,1503,2016-06-29
"video","2016-06-29",477,307,123,2016-06-29
"photo","2016-06-29",1517,387,1,2016-06-29
"link","2016-06-29",926,321,275,2016-06-29
"photo","2016-06-29",4212,877,0,2016-06-29
"link","2016-06-29",4904,1120,0,2016-06-29
"link","2016-06-28",103,80,19,2016-06-28
"link","2016-06-28",2532,665,436,2016-06-28
"link","2016-06-28",845,489,322,2016-06-28
"link","2016-06-28",2626,860,1,2016-06-28
"link","2016-06-28",2011,580,912,2016-06-28
"video","2016-06-28",4375,1026,1149,2016-06-28
"link","2016-06-28",868,546,130,2016-06-28
"link","2016-06-28",1171,499,651,2016-06-28
"video","2016-06-28",26010,3559,22903,2016-06-28
"video","2016-06-28",1239,246,0,2016-06-28
"link","2016-06-27",3588,1393,385,2016-06-27
"video","2016-06-27",9586,1744,7270,2016-06-27
"link","2016-06-27",2330,887,208,2016-06-27
"link","2016-06-26",4824,728,0,2016-06-26
"photo","2016-06-26",2467,855,1024,2016-06-26
"video","2016-06-26",3569,1542,2069,2016-06-26
"video","2016-06-26",2527,717,1,2016-06-26
"photo","2016-06-26",1466,752,222,2016-06-26
"link","2016-06-26",340,275,78,2016-06-26
"photo","2016-06-25",2681,1056,1123,2016-06-25
"link","2016-06-25",1803,909,450,2016-06-25
"video","2016-06-25",4535,1501,0,2016-06-25
"photo","2016-06-24",9968,1153,1,2016-06-24
"link","2016-06-24",1293,1004,359,2016-06-24
"video","2016-06-24",26047,5022,35106,2016-06-24
"link","2016-06-24",2486,545,740,2016-06-24
"link","2016-06-24",19368,4809,3764,2016-06-24
"link","2016-06-24",2514,616,1,2016-06-24
"link","2016-06-24",1694,620,705,2016-06-24
"link","2016-06-24",8433,1529,3953,2016-06-24
"link","2016-06-24",9076,1694,5799,2016-06-24
"link","2016-06-23",142,219,33,2016-06-23
"video","2016-06-23",989,740,3,2016-06-23
"link","2016-06-23",451,284,129,2016-06-23
"photo","2016-06-23",1023,604,515,2016-06-23
"photo","2016-06-22",377,344,86,2016-06-22
"photo","2016-06-22",254,249,60,2016-06-22
"photo","2016-06-22",185,312,50,2016-06-22
"video","2016-06-22",672,270,0,2016-06-22
"video","2016-06-22",1206,2728,324,2016-06-22
"photo","2016-06-22",212,257,103,2016-06-22
"link","2016-06-22",126,176,75,2016-06-22
"photo","2016-06-22",167,212,65,2016-06-22
"photo","2016-06-22",965,746,323,2016-06-22
"photo","2016-06-21",752,661,879,2016-06-21
"photo","2016-06-21",609,601,108,2016-06-21
"video","2016-06-20",719,733,375,2016-06-20
"video","2016-06-20",772,91,390,2016-06-20
"video","2016-06-20",695,509,0,2016-06-20
"photo","2016-06-20",547,676,197,2016-06-20
"video","2016-06-19",1247,914,1064,2016-06-19
"link","2016-06-19",1765,1339,799,2016-06-19
"link","2016-06-16",2155,256,0,2016-06-16
"photo","2016-06-16",1654,1248,448,2016-06-16
"video","2016-06-15",553,443,176,2016-06-15
"video","2016-06-15",250,262,187,2016-06-15
"link","2016-06-15",1244,981,422,2016-06-15
"video","2016-06-14",830,646,1022,2016-06-14
"photo","2016-06-14",125,257,18,2016-06-14
"video","2016-06-14",858,167,0,2016-06-14
"link","2016-06-14",3307,341,1234,2016-06-14
"link","2016-06-13",461,879,157,2016-06-13
"link","2016-06-13",1210,208,134,2016-06-13
"photo","2016-06-13",123,119,49,2016-06-13
"photo","2016-06-13",2231,119,0,2016-06-13
"link","2016-06-13",558,349,202,2016-06-13
"photo","2016-06-12",199,288,130,2016-06-12
"link","2016-06-12",174,137,19,2016-06-12
"link","2016-06-10",288,658,56,2016-06-10
"video","2016-06-10",65,102,0,2016-06-10
"link","2016-06-10",98,284,37,2016-06-10
"video","2016-06-09",253,363,62,2016-06-09
"video","2016-06-09",812,633,581,2016-06-09
"photo","2016-06-09",1029,478,869,2016-06-09
"video","2016-06-09",917,511,256,2016-06-09
"video","2016-06-09",1115,468,270,2016-06-09
"video","2016-06-09",1253,445,725,2016-06-09
"video","2016-06-09",650,544,210,2016-06-09
"link","2016-06-09",36,43,11,2016-06-09
"link","2016-06-09",144,53,11,2016-06-09
"link","2016-06-09",195,306,63,2016-06-09
"link","2016-06-08",339,88,85,2016-06-08
"photo","2016-06-08",98,307,60,2016-06-08
"photo","2016-06-08",1598,939,397,2016-06-08
"photo","2016-06-07",211,51,91,2016-06-07
"photo","2016-06-07",37,81,13,2016-06-07
"photo","2016-06-07",296,77,172,2016-06-07
"photo","2016-06-07",235,93,58,2016-06-07
"link","2016-06-07",78,41,14,2016-06-07
"link","2016-06-06",3087,436,290,2016-06-06
"link","2016-06-06",128,30,56,2016-06-06
"photo","2016-06-06",87,205,95,2016-06-06
"link","2016-06-05",448,262,79,2016-06-05
"link","2016-06-04",219,150,20,2016-06-04
"video","2016-06-03",768,773,765,2016-06-03
"link","2016-06-03",336,200,47,2016-06-03
"link","2016-06-03",897,936,313,2016-06-03
"link","2016-06-02",371,276,53,2016-06-02
"link","2016-06-02",1120,349,384,2016-06-02
"link","2016-06-01",319,443,88,2016-06-01
"link","2016-05-27",337,634,65,2016-05-27
"link","2016-05-26",399,538,30,2016-05-26
"photo","2016-05-26",291,136,226,2016-05-26
"link","2016-05-25",631,469,87,2016-05-25
"video","2016-05-25",712,360,631,2016-05-25
"link","2016-05-25",545,118,139,2016-05-25
"photo","2016-05-24",416,419,245,2016-05-24
"link","2016-05-23",373,256,102,2016-05-23
"video","2016-05-23",240,278,0,2016-05-23
"link","2016-05-22",389,286,95,2016-05-22
"photo","2016-05-21",608,260,661,2016-05-21
"link","2016-05-21",187,147,98,2016-05-21
"link","2016-05-20",302,285,37,2016-05-20
"video","2016-05-19",540,358,40,2016-05-19
"link","2016-05-19",400,120,19,2016-05-19
"link","2016-05-19",1250,219,442,2016-05-19
"link","2016-05-18",563,185,47,2016-05-18
"photo","2016-05-18",862,420,192,2016-05-18
"link","2016-05-18",85,104,31,2016-05-18
"link","2016-05-17",413,236,80,2016-05-17
"video","2016-05-17",1541,603,907,2016-05-17
"link","2016-05-16",1242,342,925,2016-05-16
"video","2016-05-16",188,38,52,2016-05-16
"link","2016-05-15",1012,344,102,2016-05-15
"link","2016-05-12",365,720,38,2016-05-12
"video","2016-05-12",439,145,268,2016-05-12
"link","2016-05-11",822,444,76,2016-05-11
"link","2016-05-10",2029,913,620,2016-05-10
"link","2016-05-10",455,487,85,2016-05-10
"link","2016-05-09",845,172,83,2016-05-09
"video","2016-05-07",984,567,555,2016-05-07
"photo","2016-05-07",640,315,97,2016-05-07
"video","2016-05-07",3972,1421,1386,2016-05-07
"video","2016-05-06",1904,637,1050,2016-05-06
"link","2016-05-06",3731,992,953,2016-05-06
"link","2016-05-06",5951,675,662,2016-05-06
"photo","2016-05-06",337,23,17,2016-05-06
"photo","2016-05-06",104,7,25,2016-05-06
